campaign_name,date,impressions,clicks,cost,conversions,ctr,cpc,conversion_rate
Summer Sale 2024,1/15/2024,125000,,,,,,
Winter Promo,1/16/2024,98000,,,32,1.93,0.5,1.69
Spring Launch,1/17/2024,156000,,,67,2,0.51,2.15
Black Friday Special,1/18/2024,234000,,,128,2.5,0.49,2.19
Holiday Campaign,1/19/2024,198000,,,89,2,0.5,2.25
New Year Blast,1/20/2024,167000,,1520.85,71,1.9,0.48,2.24
Valentine's Day,1/21/2024,145000,,1450.3,58,2,0.5,2
Back to School,1/22/2024,189000,,1890.45,82,2,0.5,2.17
Mother's Day Special,1/23/2024,134000,,1340.2,54,2,0.5,2.01
Father's Day Promo,1/24/2024,125000,,1187.5,43,1.9,0.5,1.81
Easter Campaign,1/25/2024,156000,,1560.8,67,2,0.5,2.15
Flash Sale Monday,1/26/2024,87000,,870.35,31,2,0.5,1.78
Tech Tuesday,1/27/2024,198000,,2475.5,112,2.5,0.5,2.26
Wellness Wednesday,1/28/2024,145000,,1450.75,58,2,0.5,2
Throwback Thursday,1/29/2024,167000,3340,1670.8,71,2,0.5,2.13
Friday Feature,1/30/2024,189000,3780,1890.9,82,2,0.5,2.17
Weekend Warriors,1/31/2024,234000,4680,2340.6,103,2,0.5,2.2
Clearance Sale,2/1/2024,123000,2460,1230.45,48,2,0.5,1.95
Loyalty Rewards,2/2/2024,178000,3560,1780.8,78,2,0.5,2.19
Member Exclusive,2/3/2024,145000,2900,1450.25,58,2,0.5,2
VIP Access,2/4/2024,134000,2680,1340.7,54,2,0.5,2.01
Premium Launch,2/5/2024,198000,3960,1980.4,89,2,0.5,2.25
Elite Collection,2/6/2024,167000,3340,1670.3,71,2,0.5,2.13
Luxury Line,2/7/2024,189000,3780,1890.15,82,2,0.5,2.17
Designer Series,2/8/2024,156000,3120,1560.9,67,2,0.5,2.15
Artisan Crafted,2/9/2024,145000,2900,1450.6,58,2,0.5,2
Handmade Special,2/10/2024,134000,,1340.8,54,2,,2.01
Organic Collection,2/11/2024,198000,3960,1980.25,89,2,0.5,2.25
Natural Beauty,2/12/2024,167000,3340,1670.45,71,2,0.5,2.13
Sustainable Living,2/13/2024,189000,3780,1890.7,82,2,0.5,2.17
Eco Friendly,2/14/2024,156000,3120,1560.35,67,2,0.5,2.15
Green Initiative,2/15/2024,145000,2900,1450.85,58,2,0.5,2
Earth Day Special,2/16/2024,134000,2680,1340.95,54,2,0.5,2.01
Recycled Materials,2/17/2024,198000,3960,1980.1,89,2,0.5,2.25
Renewable Energy,2/18/2024,167000,3340,1670.55,71,2,0.5,2.13
Zero Waste,2/19/2024,189000,3780,1890.85,82,2,0.5,2.17
Carbon Neutral,2/20/2024,156000,3120,1560.75,67,2,0.5,2.15
Climate Action,2/21/2024,145000,2900,1450.4,58,2,0.5,2
Ocean Conservation,2/22/2024,134000,2680,1340.65,54,2,0.5,2.01
Wildlife Protection,2/23/2024,198000,3960,1980.9,89,2,0.5,2.25
Forest Preservation,2/24/2024,167000,3340,1670.2,71,2,0.5,2.13
Biodiversity Support,2/25/2024,189000,3780,1890.55,82,2,0.5,2.17
Adventure Series,2/26/2024,156000,3120,1560.65,67,2,0.5,2.15
Outdoor Gear,2/27/2024,145000,2900,1450.95,58,2,0.5,2
Camping Essentials,2/28/2024,134000,2680,1340.75,54,2,0.5,2.01
Hiking Collection,2/29/2024,198000,3960,1980.35,89,2,0.5,2.25
Travel Ready,3/1/2024,167000,3340,1670.85,71,2,0.5,2.13
Wanderlust Special,3/2/2024,189000,3780,1890.4,82,2,0.5,2.17
Global Explorer,3/3/2024,156000,3120,1560.5,67,2,0.5,2.15
Cultural Journey,3/4/2024,145000,2900,1450.7,58,2,0.5,2
Heritage Collection,3/5/2024,134000,2680,1340.85,54,2,0.5,2.01
Trending Now,3/6/2024,350000,8750,4375.5,189,2.5,0.5,2.16
